product_name,category,price,mrp,rating,review_count
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,527,1999,4.6,5
Life Like Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentary Reminder | Text Messaging | Pedometer | Calorie Tracker | Heart Rate Monitor Smartwatch,smart_watch,550,1999,4.3,23
"OLIVE OPS Sports Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Black-Grey Strap, 1.73 Inch Big Sunlight Proof Display)",smart_watch,650,2999,4.1,29
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 5-10 days Backup ( Multicolor ),smart_watch,487,2999,3.5,20
"SKYRISE Sports Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Grey Strap, 1.73 Inch Big Sunlight Proof Display)",smart_watch,711,4999,5.0,1
"T800 Ultra Smart Watch with Beautiful Strap, Bluetooth Calling Smart Watch, 1.99"" Touch Display with Fitness & Outdoor, Health & Medical Tracker, 8 Unique UI Interactions (Orange)",smart_watch,453,2999,4.0,4
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,576,2499,,
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 1-2 days Backup ( Orange ),smart_watch,487,2999,,
HEDU T500 BT Calling Smart Watch with Strap Upto 4 hours Backup ( BLACK ),smart_watch,436,999,3.5,403
"SKYRISE Ultra Max Golden Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Golden Strap, 2.09 Inch Big Sunlight Proof Display)",smart_watch,576,4999,3.8,330
HEDU ALOMED Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentary,smart_watch,575,999,4.1,76
t-800 Ultra Max Smartwatch,smart_watch,466,2699,3.6,27
HEDU T500 BT Calling Smart Watch with Strap Upto 1-2 hours Backup ( PINK ),smart_watch,436,999,3.8,67
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 5-10 days Backup ( Orange ),smart_watch,419,2999,4.2,29
"T-800 Ultra Smartwatch Series 8 – Premium Design, Full Touch Display & Bluetooth Calling",smart_watch,440,2699,3.7,7
