product_name,category,price,mrp,rating,review_count,product_url,seller_name,seller_rating,discount_pct,price_to_mrp_ratio,rating_review_ratio,review_density,generic_word_count,uppercase_ratio,category_avg_price,price_deviation_from_category,extreme_discount_flag,suspicious_trust_flag,aggressive_listing_flag,risk_score,risk_level,seller_cluster_id
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3.0,https://www.snapdeal.com/product/eller-sante-10000-mah-5v2a/6917529685762132656#bcrumbSearch:power%20bank,,,0.5057528764382191,0.4942471235617809,2.6689858256445826,0.003036437246963563,0,0.1724137931034483,884.0625,103.9375,0,0,0,0,Low,4
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2.0,https://www.snapdeal.com/product/hitech-25000-mah-5v2a-5v3a/5764608160040731647#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0,0.5342136854741897,0.4657863145258103,4.551196133134186,0.001718213058419244,0,0.20408163265306123,884.0625,279.9375,0,0,0,0,Low,4
Tecsox 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,718,3999,4.3,60.0,https://www.snapdeal.com/product/tecsox-10000-mah-5v3a-lipolymer/653368111297#bcrumbSearch:power%20bank,,,0.8204551137784446,0.1795448862215554,1.0460063096255379,0.08356545961002786,0,0.17777777777777778,884.0625,-166.0625,1,1,0,2,Medium,3
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,739,1999,3.7,35.0,https://www.snapdeal.com/product/portronics-10000-mah-5v2a-lipolymer/678646538357#bcrumbSearch:power%20bank,Electroniks4u,4.2,0.6303151575787894,0.3696848424212106,1.0325046591198075,0.04736129905277402,0,0.16326530612244897,884.0625,-145.0625,1,1,0,2,Medium,4
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3.0,https://www.snapdeal.com/product/eller-sante-10000-mah-5v2a/8070451190368979632#bcrumbSearch:power%20bank,,,0.5057528764382191,0.4942471235617809,2.6689858256445826,0.003036437246963563,0,0.1724137931034483,884.0625,103.9375,0,0,0,0,Low,4
Zebronics 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,966,1999,5.0,1.0,https://www.snapdeal.com/product/zebronics-10000-mah-5v3a-lipolymer/675755032440#bcrumbSearch:power%20bank,A.A. ASSOCIATES,3.8,0.5167583791895948,0.4832416208104052,7.213475204444817,0.0010351966873706005,0,0.16666666666666666,884.0625,81.9375,0,0,0,0,Low,2
itel 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,966,1999,3.9,11.0,https://www.snapdeal.com/product/itel-10000-mah-225w-lipolymer/633300799139#bcrumbSearch:power%20bank,,,0.5167583791895948,0.4832416208104052,1.5694754570891942,0.011387163561076604,0,0.13953488372093023,884.0625,81.9375,0,0,0,0,Low,4
Portronics 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,849,2499,3.7,88.0,https://www.snapdeal.com/product/portronics-10000-mah-225w-lipolymer/645133517722#bcrumbSearch:power%20bank,Electroniks4u,4.2,0.6602641056422569,0.3397358943577431,0.8243037963489117,0.10365135453474676,0,0.14285714285714285,884.0625,-35.0625,1,1,0,2,Medium,4
Itel Power Go Star 100 (IPP-53) 10000mAh(10 W) Lithium_Polymer Slim Power Bank (Black) Support and Mobile/Tablet,power_bank,868,1599,3.8,13.0,https://www.snapdeal.com/product/itel-10000-mah-lipolymer-power/678945668242#bcrumbSearch:power%20bank,A.A. ASSOCIATES,3.8,0.45716072545340836,0.5428392745465916,1.4399080904218144,0.014976958525345621,0,0.16071428571428573,884.0625,-16.0625,0,0,0,0,Low,4
HEDU T500 BT Calling Smart Watch with Strap Upto 4 hours Backup ( BLACK ),smart_watch,436,999,3.5,403.0,https://www.snapdeal.com/product/hedu-t500-bt-calling-smart/659510958982#bcrumbSearch:smart%20watch,Audio_M,4.0,0.5635635635635635,0.4364364364364364,0.5831958081839942,0.9243119266055045,1,0.2465753424657534,532.3333333333334,-96.33333333333337,0,1,0,1,Low,3
